Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,absolute number,25,110,C,di_coxme,35.8191585073004,22.2325811424623,50.1468219102206,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,17.6976632950507,10.6185979770304,24.7767286130709,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,25.6616117778235,15.9278969655456,35.9262564889528,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,17.5350468774662,10.5210281264797,24.5490656284526,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,25.4258179723259,15.7815421897195,35.5961451612563,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,11.6267818702302,6.97606912213815,16.2774946183223,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,16.8588337118338,10.4641036832072,23.6023671965674,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,A,di_gee,19.3666810770865,11.6200086462519,27.1133535079211,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,A,di_coxme,28.0816875617754,17.4300129693779,39.3143625864856,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,B,di_gee,19.1887287539604,11.5132372523762,26.8642202555445,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,B,di_coxme,27.8236566932426,17.2698558785644,38.9531193705396,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,C,di_gee,12.7232715799589,7.63396294797536,17.8125802119425,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,Deaths,crude rate,25,110,C,di_coxme,18.4487437909404,11.450944421963,25.8282413073166,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,A,di_gee,1088.14195628287,652.88517376972,1523.39873879601,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,A,di_coxme,1577.80583661015,979.327760654579,2208.92817125422,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,4,nvss,YLL,absolute number,25,110,B,di_gee,1078.14347547757,646.886085286543,1509.4008656686,attributable
