Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,70,74,2.80231466729858,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,80,84,4.95640951222984,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,75,79,5.36180649954118,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,resp_copd,total,nvss,85,150,3.62492770925375,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,35,39,0.00492805493272475,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,40,44,0.0425618747474453,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,45,49,0.146688193323057,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,50,54,0.195108814571154,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,55,59,0.401209008336213,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,60,64,0.493827560844552,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,80,84,1.04345463415365,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,85,150,0.52971722971903,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,65,69,0.870814620204371,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,75,79,1.30582741317239,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,t2_dm,total,nvss,70,74,0.998844831908403,Deaths,age-adjusted rate
2001,666,M,White,Not Hispanic or Latino,us,all-cause,overall,nvss,5,9,0.435488712519243,Deaths,age-adjusted rate
2001,666,M,White,Not Hispanic or Latino,us,all-cause,overall,nvss,10,14,1.62925275549396,Deaths,age-adjusted rate
2001,666,M,White,Not Hispanic or Latino,us,all-cause,overall,nvss,0,4,0.77397613013605,Deaths,age-adjusted rate
