Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,Asian or Pacific Islander,75,84,All Origins,666,us,cvd_ihd,total,18.8695859480837,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,85,150,All Origins,666,us,cvd_ihd,total,24.0713219244505,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,25,34,All Origins,666,us,cvd_stroke,total,0.055935683648838,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,35,44,All Origins,666,us,cvd_stroke,total,0.385523296279263,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,45,54,All Origins,666,us,cvd_stroke,total,1.07456935677985,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,55,64,All Origins,666,us,cvd_stroke,total,1.16668304076742,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,65,74,All Origins,666,us,cvd_stroke,total,2.17601381295391,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,75,84,All Origins,666,us,cvd_stroke,total,4.92572925710799,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,85,150,All Origins,666,us,cvd_stroke,total,5.19677187753523,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,25,34,All Origins,666,us,lri,total,0.00860548979212892,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,35,44,All Origins,666,us,lri,total,0.0380093390697865,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,45,54,All Origins,666,us,lri,total,0.0600013346425295,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,55,64,All Origins,666,us,lri,total,0.129631448974158,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,65,74,All Origins,666,us,lri,total,0.194602861321082,666,nvss,Deaths,age-adjusted rate
2013,A,Asian or Pacific Islander,75,84,All Origins,666,us,lri,total,0.445543349889165,666,nvss,Deaths,age-adjusted rate
