"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
33,33,2015,"Not Hispanic or Latino","A","White",2508865,"us",666,666,"CDC"
33,33,2016,"Hispanic or Latino","A","White",794570,"us",666,666,"CDC"
33,33,2016,"Not Hispanic or Latino","A","White",2512413,"us",666,666,"CDC"
34,34,2000,"Hispanic or Latino","A","White",564310,"us",666,666,"CDC"
34,34,2000,"Not Hispanic or Latino","A","White",2765307,"us",666,666,"CDC"
34,34,2001,"Hispanic or Latino","A","White",567283,"us",666,666,"CDC"
34,34,2001,"Not Hispanic or Latino","A","White",2676615,"us",666,666,"CDC"
34,34,2002,"Hispanic or Latino","A","White",595093,"us",666,666,"CDC"
34,34,2002,"Not Hispanic or Latino","A","White",2618073,"us",666,666,"CDC"
34,34,2003,"Hispanic or Latino","A","White",610354,"us",666,666,"CDC"
34,34,2003,"Not Hispanic or Latino","A","White",2665830,"us",666,666,"CDC"
34,34,2004,"Hispanic or Latino","A","White",661712,"us",666,666,"CDC"
34,34,2004,"Not Hispanic or Latino","A","White",2789601,"us",666,666,"CDC"
34,34,2005,"Hispanic or Latino","A","White",663302,"us",666,666,"CDC"
34,34,2005,"Not Hispanic or Latino","A","White",2707936,"us",666,666,"CDC"
34,34,2006,"Hispanic or Latino","A","White",673312,"us",666,666,"CDC"
34,34,2006,"Not Hispanic or Latino","A","White",2490459,"us",666,666,"CDC"
34,34,2007,"Hispanic or Latino","A","White",682874,"us",666,666,"CDC"
34,34,2007,"Not Hispanic or Latino","A","White",2314978,"us",666,666,"CDC"
34,34,2008,"Hispanic or Latino","A","White",688806,"us",666,666,"CDC"
34,34,2008,"Not Hispanic or Latino","A","White",2246707,"us",666,666,"CDC"
34,34,2009,"Hispanic or Latino","A","White",718787,"us",666,666,"CDC"
34,34,2009,"Not Hispanic or Latino","A","White",2310021,"us",666,666,"CDC"
34,34,2010,"Hispanic or Latino","A","White",720686,"us",666,666,"CDC"
34,34,2010,"Not Hispanic or Latino","A","White",2224841,"us",666,666,"CDC"
34,34,2011,"Hispanic or Latino","A","White",733058,"us",666,666,"CDC"
34,34,2011,"Not Hispanic or Latino","A","White",2303933,"us",666,666,"CDC"
34,34,2012,"Hispanic or Latino","A","White",739939,"us",666,666,"CDC"
34,34,2012,"Not Hispanic or Latino","A","White",2329675,"us",666,666,"CDC"
34,34,2013,"Hispanic or Latino","A","White",742408,"us",666,666,"CDC"
34,34,2013,"Not Hispanic or Latino","A","White",2376994,"us",666,666,"CDC"
34,34,2014,"Hispanic or Latino","A","White",805902,"us",666,666,"CDC"
34,34,2014,"Not Hispanic or Latino","A","White",2519252,"us",666,666,"CDC"
34,34,2015,"Hispanic or Latino","A","White",784948,"us",666,666,"CDC"
34,34,2015,"Not Hispanic or Latino","A","White",2490346,"us",666,666,"CDC"
34,34,2016,"Hispanic or Latino","A","White",798014,"us",666,666,"CDC"
34,34,2016,"Not Hispanic or Latino","A","White",2508735,"us",666,666,"CDC"
35,35,2000,"Hispanic or Latino","A","White",573704,"us",666,666,"CDC"
35,35,2000,"Not Hispanic or Latino","A","White",3009014,"us",666,666,"CDC"
35,35,2001,"Hispanic or Latino","A","White",570755,"us",666,666,"CDC"
35,35,2001,"Not Hispanic or Latino","A","White",2766030,"us",666,666,"CDC"
35,35,2002,"Hispanic or Latino","A","White",574673,"us",666,666,"CDC"
